# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time              L2_Ham              L2_Mom
   0.0000000    2.0891356288e-03    0.0000000000e+00
   0.0500000    2.4996206156e-03    4.7481284522e-06
   0.1000000    2.4996268559e-03    8.7140432703e-06
   0.1500000    2.4996301987e-03    1.2011429615e-05
   0.2000000    2.4996333768e-03    1.4736199064e-05
   0.2500000    2.4996389467e-03    1.6969247471e-05
   0.3000000    2.4996490188e-03    1.8778884788e-05
   0.3500000    2.4996650101e-03    2.0222981233e-05
   0.4000000    2.4996874530e-03    2.1350853234e-05
   0.4500000    2.4997158898e-03    2.2204900072e-05
   0.5000000    2.4997488825e-03    2.2821992242e-05
   0.5500000    2.4997841544e-03    2.3234612779e-05
   0.6000000    2.4998188672e-03    2.3471756316e-05
   0.6500000    2.4998500143e-03    2.3559597204e-05
   0.7000000    2.4998748874e-03    2.3521947260e-05
   0.7500000    2.4998915476e-03    2.3380532947e-05
   0.8000000    2.4998992243e-03    2.3155126117e-05
   0.8500000    2.4998985676e-03    2.2863573235e-05
   0.9000000    2.4998916991e-03    2.2521765593e-05
   0.9500000    2.4998820459e-03    2.2143591404e-05
   1.0000000    2.4998739683e-03    2.1740905977e-05
   1.0500000    2.4998722285e-03    2.1323549489e-05
   1.1000000    2.4998813703e-03    2.0899426988e-05
   1.1500000    2.4999051076e-03    2.0474654022e-05
   1.2000000    2.4999458185e-03    2.0053765072e-05
   1.2500000    2.5000042299e-03    1.9639969626e-05
   1.3000000    2.5000793369e-03    1.9235433245e-05
   1.3500000    2.5001685635e-03    1.8841555993e-05
   1.4000000    2.5002681276e-03    1.8459226376e-05
   1.4500000    2.5003735515e-03    1.8089037084e-05
   1.5000000    2.5004802395e-03    1.7731444108e-05
   1.5500000    2.5005840404e-03    1.7386854580e-05
   1.6000000    2.5006817169e-03    1.7055657537e-05
   1.6500000    2.5007712661e-03    1.6738215793e-05
   1.7000000    2.5008520618e-03    1.6434806216e-05
   1.7500000    2.5009248132e-03    1.6145516422e-05
   1.8000000    2.5009913575e-03    1.5870152857e-05
   1.8500000    2.5010543239e-03    1.5608185751e-05
   1.9000000    2.5011167190e-03    1.5358712456e-05
   1.9500000    2.5011814850e-03    1.5120438421e-05
   2.0000000    2.5012510888e-03    1.4891700807e-05
   2.0500000    2.5013271894e-03    1.4670569747e-05
   2.1000000    2.5014104273e-03    1.4455014415e-05
   2.1500000    2.5015003588e-03    1.4243033120e-05
   2.2000000    2.5015955430e-03    1.4032732906e-05
   2.2500000    2.5016937670e-03    1.3822491249e-05
   2.3000000    2.5017923755e-03    1.3611156978e-05
   2.3500000    2.5018886523e-03    1.3398086983e-05
   2.4000000    2.5019802015e-03    1.3183095132e-05
   2.4500000    2.5020652703e-03    1.2966500349e-05
   2.5000000    2.5021429658e-03    1.2749131585e-05
   2.5500000    2.5022133377e-03    1.2532173237e-05
   2.6000000    2.5022773236e-03    1.2317034669e-05
   2.6500000    2.5023365732e-03    1.2105296937e-05
   2.7000000    2.5023931866e-03    1.1898600059e-05
   2.7500000    2.5024494142e-03    1.1698492459e-05
   2.8000000    2.5025073634e-03    1.1506332741e-05
   2.8500000    2.5025687566e-03    1.1323248498e-05
   2.9000000    2.5026347699e-03    1.1150140994e-05
   2.9500000    2.5027059646e-03    1.0987689661e-05
   3.0000000    2.5027823063e-03    1.0836335685e-05
   3.0500000    2.5028632575e-03    1.0696317125e-05
   3.1000000    2.5029479191e-03    1.0567744645e-05
   3.1500000    2.5030351924e-03    1.0450623095e-05
   3.2000000    2.5031239348e-03    1.0344845885e-05
   3.2500000    2.5032130905e-03    1.0250234218e-05
   3.3000000    2.5033017835e-03    1.0166565487e-05
