# time  centre  cx  cy  cz  R_min  r_at_R_min  dev  log10_abs_dev  n_mots  r_mots  R_mots  M_MS_mots  theta_out_min_inside  theta_out_max_at_R_min  theta_in_max_at_R_min  n_trapped  n_anti_trapped  n_outermost
0.0000000000000000e+00  A  32.031250  32.000000  32.000000  3.8694698630e+00  1.610000  -5.149797e-03  -2.2882  0  nan  nan  nan  +nan  +6.676307e-03  -7.371054e-04  0  0  0
0.0000000000000000e+00  B  31.968750  32.000000  32.000000  3.8694698630e+00  1.610000  -5.149797e-03  -2.2882  0  nan  nan  nan  +nan  +6.676307e-03  -7.371054e-04  0  0  0
0.0000000000000000e+00  C  32.000000  32.000000  32.000000  3.8564119639e+00  1.610000  -8.507015e-03  -2.0702  0  nan  nan  nan  +nan  +6.040854e-02  +9.410362e-02  0  0  0
1.0000000000000000e+00  A  32.031250  32.000000  32.000000  3.8701500559e+00  1.610000  -4.974918e-03  -2.3032  0  nan  nan  nan  +nan  +7.055484e-03  +4.100807e-04  0  0  0
1.0000000000000000e+00  B  31.968750  32.000000  32.000000  3.8701500559e+00  1.610000  -4.974918e-03  -2.3032  0  nan  nan  nan  +nan  +7.055484e-03  +4.100807e-04  0  0  0
1.0000000000000000e+00  C  32.000000  32.000000  32.000000  3.8570408971e+00  1.610000  -8.345315e-03  -2.0786  0  nan  nan  nan  +nan  +6.118627e-02  +9.441227e-02  0  0  0
2.0000000000000000e+00  A  32.031250  32.000000  32.000000  3.8709115919e+00  1.610000  -4.779125e-03  -2.3207  0  nan  nan  nan  +nan  +6.616579e-03  +5.157913e-04  0  0  0
2.0000000000000000e+00  B  31.968750  32.000000  32.000000  3.8709115919e+00  1.610000  -4.779125e-03  -2.3207  0  nan  nan  nan  +nan  +6.616579e-03  +5.157913e-04  0  0  0
2.0000000000000000e+00  C  32.000000  32.000000  32.000000  3.8577412274e+00  1.610000  -8.165258e-03  -2.0880  0  nan  nan  nan  +nan  +6.106261e-02  +9.392978e-02  0  0  0
2.9999999999999800e+00  A  32.031250  32.000000  32.000000  3.8715089427e+00  1.610000  -4.625545e-03  -2.3348  0  nan  nan  nan  +nan  +6.370218e-03  +5.184390e-04  0  0  0
2.9999999999999800e+00  B  31.968750  32.000000  32.000000  3.8715089427e+00  1.610000  -4.625545e-03  -2.3348  0  nan  nan  nan  +nan  +6.370218e-03  +5.184390e-04  0  0  0
2.9999999999999800e+00  C  32.000000  32.000000  32.000000  3.8583001408e+00  1.610000  -8.021560e-03  -2.0957  0  nan  nan  nan  +nan  +6.097572e-02  +9.360326e-02  0  0  0
3.9999999999999600e+00  A  32.031250  32.000000  32.000000  3.8720146095e+00  1.610000  -4.495537e-03  -2.3472  0  nan  nan  nan  +nan  +6.231773e-03  +5.392147e-04  0  0  0
3.9999999999999600e+00  B  31.968750  32.000000  32.000000  3.8720146095e+00  1.610000  -4.495537e-03  -2.3472  0  nan  nan  nan  +nan  +6.231773e-03  +5.392147e-04  0  0  0
3.9999999999999600e+00  C  32.000000  32.000000  32.000000  3.8587828062e+00  1.610000  -7.897466e-03  -2.1025  0  nan  nan  nan  +nan  +6.093930e-02  +9.338824e-02  0  0  0
4.9999999999999396e+00  A  32.031250  32.000000  32.000000  3.8724803260e+00  1.610000  -4.375800e-03  -2.3589  0  nan  nan  nan  +nan  +6.142959e-03  +5.827436e-04  0  0  0
4.9999999999999396e+00  B  31.968750  32.000000  32.000000  3.8724803260e+00  1.610000  -4.375800e-03  -2.3589  0  nan  nan  nan  +nan  +6.142959e-03  +5.827436e-04  0  0  0
4.9999999999999396e+00  C  32.000000  32.000000  32.000000  3.8592308772e+00  1.610000  -7.782266e-03  -2.1089  0  nan  nan  nan  +nan  +6.094052e-02  +9.323210e-02  0  0  0
5.9999999999999201e+00  A  32.031250  32.000000  32.000000  3.8729394864e+00  1.610000  -4.257749e-03  -2.3708  0  nan  nan  nan  +nan  +6.092884e-03  +6.373472e-04  0  0  0
5.9999999999999201e+00  B  31.968750  32.000000  32.000000  3.8729394864e+00  1.610000  -4.257749e-03  -2.3708  0  nan  nan  nan  +nan  +6.092884e-03  +6.373472e-04  0  0  0
5.9999999999999201e+00  C  32.000000  32.000000  32.000000  3.8596766269e+00  1.610000  -7.667662e-03  -2.1153  0  nan  nan  nan  +nan  +6.096254e-02  +9.312343e-02  0  0  0
6.9999999999998996e+00  A  32.031250  32.000000  32.000000  3.8734182735e+00  1.610000  -4.134651e-03  -2.3836  0  nan  nan  nan  +nan  +6.077954e-03  +7.001469e-04  0  0  0
6.9999999999998996e+00  B  31.968750  32.000000  32.000000  3.8734182735e+00  1.610000  -4.134651e-03  -2.3836  0  nan  nan  nan  +nan  +6.077954e-03  +7.001469e-04  0  0  0
