# time  P_total  P_z_beam  beam_ratio  beaming_gain  wavezone_std
0.0000000000000000e+00  2.2393622952653234e-13  4.6093931634654613e-25  2.4226496049634760e-12  1.0000000000096907e+00  4.2980235303860015e-01
1.0000000000000000e+00  2.9482325360559386e-14  3.2419997857681086e-20  4.3940869035457345e-06  1.0000175763476142e+00  1.0881223873964352e-01
2.0000000000000000e+00  4.6127169236317610e-14  1.3412909467402491e-19  2.9296798965926626e-04  1.0011718719586371e+00  7.3732966491177310e-01
2.9999999999999800e+00  4.9562123778257665e-15  1.7946095565576173e-19  6.0625840416383116e-02  1.2425033616655325e+00  9.2876434200942226e-01
3.9999999999999600e+00  2.0174748940199695e-16  1.4088616942479188e-19  1.5547718844728421e-02  1.0621908753789138e+00  5.1035239391656939e-01
4.9999999999999396e+00  9.8904162553603858e-16  1.3651529712026386e-19  3.9201878862753009e-04  1.0015680751545102e+00  6.2909946997074372e-03
5.9999999999999201e+00  1.5495098895461050e-16  1.1350814004614554e-19  4.7198643091164288e-04  1.0018879457236465e+00  6.1509790643768680e-01
6.9999999999998996e+00  3.2787147008115158e-14  1.0279013321622915e-19  2.8331637345140108e-04  1.0011332654938057e+00  7.3711735517793153e-01
7.9999999999998703e+00  6.3902895217783450e-15  1.1028717028605946e-19  3.0962468748838118e-05  1.0001238498749954e+00  2.9835339412574290e-02
8.9999999999998508e+00  1.4121200858556828e-14  1.5013413823042836e-19  1.7084311600092779e-05  1.0000683372464003e+00  8.4823101691956643e-02
9.9999999999998295e+00  1.6686498046505049e-13  1.7256791645282826e-19  4.4076303383221534e-06  1.0000176305213533e+00  6.0561017099266790e-01
1.0999999999999799e+01  2.8409723540575806e-13  1.5006421279998081e-17  2.9431785213735870e-05  1.0001177271408550e+00  6.9125454667191910e-01
1.1999999999999799e+01  2.0894070131966465e-13  2.9350580386646052e-18  7.5179583920562732e-06  1.0000300718335682e+00  5.3546436546560905e-01
1.2999999999999799e+01  2.8233910039400551e-15  6.0447194611750359e-20  5.9169828100565973e-05  1.0002366793124022e+00  6.4165096220514728e-01
1.3999999999999700e+01  3.7100714532487054e-14  7.3310097929960060e-20  1.6167129968827515e-06  1.0000064668519875e+00  1.0212561020152422e-01
1.4999999999999700e+01  2.4339106710301561e-14  5.5285982250665189e-19  1.8528877040815680e-05  1.0000741155081632e+00  3.2008392435607863e-01
1.5999999999999700e+01  1.9220044264361608e-13  5.4928278828491318e-19  5.2473830274304946e-06  1.0000209895321097e+00  4.6702210689389362e-01
1.6999999999999901e+01  1.6848595296708757e-13  8.6265112217734554e-20  5.7569166176011261e-06  1.0000230276664703e+00  4.7804038717133746e-01
1.8000000000000000e+01  5.7285719594830502e-13  5.0066092282874853e-20  8.3898750357940359e-06  1.0000335595001433e+00  7.8324957890767999e-01
1.9000000000000199e+01  6.4925358273747010e-13  1.3422657055142419e-19  8.3341528986984479e-06  1.0000333366115948e+00  6.3434925489734606e-01
2.0000000000000298e+01  8.2121048641272239e-12  3.2751998530599659e-18  2.1152919763217059e-05  1.0000846116790529e+00  9.0291892460168011e-01
