# time  R_areal_min  r_at_R_areal_min
0.0000000000000000e+00  3.9679852811247454e+00  1.5943626273530123e+00
1.0000000000000000e+00  3.9607983580377026e+00  1.6568395177264454e+00
2.0000000000000000e+00  3.9550928346229690e+00  1.6568395177264454e+00
2.9999999999999800e+00  3.9494884154407073e+00  1.6568395177264454e+00
3.9999999999999600e+00  3.9443458983341113e+00  1.6568395177264454e+00
4.9999999999999396e+00  3.9398707149854202e+00  1.6568395177264454e+00
5.9999999999999201e+00  3.9352957554747889e+00  1.6568395177264454e+00
6.9999999999998996e+00  3.9304470478297429e+00  1.6568395177264454e+00
7.9999999999998703e+00  3.9250788336067370e+00  1.6568395177264454e+00
8.9999999999998508e+00  3.9189507703068509e+00  1.6568395177264454e+00
9.9999999999998295e+00  3.9117902001698108e+00  1.6568395177264454e+00
1.0999999999999799e+01  3.9032846009831967e+00  1.6568395177264454e+00
1.1999999999999799e+01  3.8930892465524560e+00  1.6568395177264454e+00
1.2999999999999799e+01  3.8807988513497267e+00  1.6568395177264454e+00
1.3999999999999700e+01  3.8657680981382510e+00  1.5943626273530123e+00
1.4999999999999700e+01  3.8468342325090248e+00  1.5943626273530123e+00
1.5999999999999700e+01  3.8238646238954415e+00  1.5943626273530123e+00
1.6999999999999901e+01  3.7960932577930797e+00  1.5943626273530123e+00
1.8000000000000000e+01  3.7622883231544515e+00  1.5318876223470179e+00
1.9000000000000199e+01  3.7196935903428678e+00  1.5318876223470179e+00
