# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time              L2_Ham              L2_Mom
   0.0000000    2.3458350524e-03    0.0000000000e+00
   0.0500000    2.7455461321e-03    4.6016741377e-05
   0.1000000    2.7440943223e-03    8.4431304521e-05
   0.1500000    2.7418869606e-03    1.1635617369e-04
   0.2000000    2.7390901061e-03    1.4272971877e-04
   0.2500000    2.7358504719e-03    1.6434313458e-04
   0.3000000    2.7322946592e-03    1.8186415623e-04
   0.3500000    2.7285300543e-03    1.9585797673e-04
   0.4000000    2.7246469903e-03    2.0680560823e-04
   0.4500000    2.7207215493e-03    2.1511979731e-04
   0.5000000    2.7168182938e-03    2.2115853225e-04
   0.5500000    2.7129923118e-03    2.2523616613e-04
   0.6000000    2.7092901991e-03    2.2763221267e-04
   0.6500000    2.7057499033e-03    2.2859793819e-04
   0.7000000    2.7023996406e-03    2.2836095563e-04
   0.7500000    2.6992563190e-03    2.2712810719e-04
   0.8000000    2.6963240307e-03    2.2508698636e-04
   0.8500000    2.6935932003e-03    2.2240649064e-04
   0.9000000    2.6910408976e-03    2.1923680440e-04
   0.9500000    2.6886326371e-03    2.1570918624e-04
   1.0000000    2.6863257145e-03    2.1193587948e-04
   1.0500000    2.6840738202e-03    2.0801038608e-04
   1.1000000    2.6818323847e-03    2.0400825006e-04
   1.1500000    2.6795639253e-03    1.9998839687e-04
   1.2000000    2.6772426020e-03    1.9599498197e-04
   1.2500000    2.6748572773e-03    1.9205962616e-04
   1.3000000    2.6724125971e-03    1.8820386955e-04
   1.3500000    2.6699279201e-03    1.8444165831e-04
   1.4000000    2.6674342622e-03    1.8078167895e-04
   1.4500000    2.6649697394e-03    1.7722937562e-04
   1.5000000    2.6625742185e-03    1.7378853909e-04
   1.5500000    2.6602839537e-03    1.7046240857e-04
   1.6000000    2.6581269502e-03    1.6725425377e-04
   1.6500000    2.6561196518e-03    1.6416745698e-04
   1.7000000    2.6542653236e-03    1.6120519543e-04
   1.7500000    2.6525542461e-03    1.5836984446e-04
   1.8000000    2.6509655849e-03    1.5566220364e-04
   1.8500000    2.6494705908e-03    1.5308069067e-04
   1.9000000    2.6480366390e-03    1.5062068914e-04
   1.9500000    2.6466315450e-03    1.4827419286e-04
   2.0000000    2.6452275911e-03    1.4602981577e-04
   2.0500000    2.6438047656e-03    1.4387317233e-04
   2.1000000    2.6423528349e-03    1.4178761635e-04
   2.1500000    2.6408720296e-03    1.3975535094e-04
   2.2000000    2.6393723080e-03    1.3775879081e-04
   2.2500000    2.6378713556e-03    1.3578188760e-04
   2.3000000    2.6363916264e-03    1.3381130106e-04
   2.3500000    2.6349568325e-03    1.3183747393e-04
   2.4000000    2.6335884549e-03    1.2985541801e-04
   2.4500000    2.6323026922e-03    1.2786496641e-04
   2.5000000    2.6311082658e-03    1.2587062400e-04
   2.5500000    2.6300053636e-03    1.2388115724e-04
   2.6000000    2.6289858060e-03    1.2190880956e-04
   2.6500000    2.6280343391e-03    1.1996821005e-04
   2.7000000    2.6271308056e-03    1.1807523514e-04
   2.7500000    2.6262528277e-03    1.1624591870e-04
   2.8000000    2.6253785815e-03    1.1449544806e-04
   2.8500000    2.6244892491e-03    1.1283733271e-04
   2.9000000    2.6235708170e-03    1.1128281931e-04
   2.9500000    2.6226150469e-03    1.0984061631e-04
   3.0000000    2.6216195951e-03    1.0851690750e-04
   3.0500000    2.6205873654e-03    1.0731552232e-04
   3.1000000    2.6195252934e-03    1.0623820917e-04
   3.1500000    2.6184428389e-03    1.0528501672e-04
   3.2000000    2.6173504518e-03    1.0445467004e-04
   3.2500000    2.6162582202e-03    1.0374482245e-04
   3.3000000    2.6151748417e-03    1.0315221002e-04
   3.3500000    2.6141069840e-03    1.0267274626e-04
   3.4000000    2.6130590353e-03    1.0230150291e-04
   3.4500000    2.6120331830e-03    1.0203257825e-04
   3.5000000    2.6110297200e-03    1.0185896522e-04
   3.5500000    2.6100474865e-03    1.0177246854e-04
   3.6000000    2.6090843616e-03    1.0176363333e-04
   3.6500000    2.6081377164e-03    1.0182172064e-04
   3.7000000    2.6072047741e-03    1.0193479528e-04
   3.7500000    2.6062828789e-03    1.0208991247e-04
   3.8000000    2.6053696733e-03    1.0227337591e-04
   3.8500000    2.6044631879e-03    1.0247105953e-04
   3.9000000    2.6035618553e-03    1.0266877116e-04
   3.9500000    2.6026644714e-03    1.0285264285e-04
   4.0000000    2.6017701386e-03    1.0300951574e-04
   4.0500000    2.6008782055e-03    1.0312727955e-04
   4.1000000    2.5999882009e-03    1.0319517431e-04
   4.1500000    2.5990997766e-03    1.0320405322e-04
   4.2000000    2.5982126751e-03    1.0314657216e-04
   4.2500000    2.5973267115e-03    1.0301730564e-04
   4.3000000    2.5964417531e-03    1.0281280120e-04
   4.3500000    2.5955576932e-03    1.0253156603e-04
   4.4000000    2.5946744296e-03    1.0217399292e-04
   4.4500000    2.5937918623e-03    1.0174223582e-04
   4.5000000    2.5929099021e-03    1.0124004301e-04
   4.5500000    2.5920284788e-03    1.0067256304e-04
   4.6000000    2.5911475382e-03    1.0004612518e-04
   4.6500000    2.5902670299e-03    9.9367988685e-05
   4.7000000    2.5893868915e-03    9.8646078378e-05
   4.7500000    2.5885070453e-03    9.7888733780e-05
   4.8000000    2.5876274090e-03    9.7104480466e-05
   4.8500000    2.5867479102e-03    9.6301813355e-05
   4.9000000    2.5858684920e-03    9.5488987715e-05
   4.9500000    2.5849891078e-03    9.4673831656e-05
   5.0000000    2.5841097135e-03    9.3863592128e-05
   5.0500000    2.5832302666e-03    9.3064815740e-05
   5.1000000    2.5823507306e-03    9.2283264766e-05
   5.1500000    2.5814710814e-03    9.1523866714e-05
   5.2000000    2.5805913101e-03    9.0790690465e-05
   5.2500000    2.5797114201e-03    9.0086945884e-05
   5.3000000    2.5788314192e-03    8.9415012196e-05
   5.3500000    2.5779513140e-03    8.8776496882e-05
   5.4000000    2.5770711102e-03    8.8172313108e-05
   5.4500000    2.5761908175e-03    8.7602759721e-05
   5.5000000    2.5753104520e-03    8.7067601237e-05
   5.5500000    2.5744300315e-03    8.6566156172e-05
   5.6000000    2.5735495664e-03    8.6097393344e-05
   5.6500000    2.5726690520e-03    8.5660021087e-05
   5.7000000    2.5717884672e-03    8.5252557562e-05
   5.7500000    2.5709077790e-03    8.4873390476e-05
   5.8000000    2.5700269472e-03    8.4520840107e-05
   5.8500000    2.5691459279e-03    8.4193220091e-05
   5.9000000    2.5682646714e-03    8.3888877646e-05
   5.9500000    2.5673831175e-03    8.3606212157e-05
   6.0000000    2.5665011924e-03    8.3343690384e-05
   6.0500000    2.5656188138e-03    8.3099867513e-05
   6.1000000    2.5647359029e-03    8.2873404089e-05
   6.1500000    2.5638523913e-03    8.2663070416e-05
   6.2000000    2.5629682194e-03    8.2467744834e-05
   6.2500000    2.5620833304e-03    8.2286413096e-05
   6.3000000    2.5611976684e-03    8.2118164708e-05
   6.3500000    2.5603111828e-03    8.1962181089e-05
   6.4000000    2.5594238296e-03    8.1817721935e-05
   6.4500000    2.5585355685e-03    8.1684120398e-05
   6.5000000    2.5576463636e-03    8.1560785835e-05
   6.5500000    2.5567561894e-03    8.1447202329e-05
   6.6000000    2.5558650333e-03    8.1342916313e-05
   6.6500000    2.5549728895e-03    8.1247519149e-05
   6.7000000    2.5540797533e-03    8.1160636376e-05
   6.7500000    2.5531856284e-03    8.1081928334e-05
   6.8000000    2.5522905355e-03    8.1011094102e-05
   6.8500000    2.5513945090e-03    8.0947866435e-05
   6.9000000    2.5504975846e-03    8.0891996350e-05
   6.9500000    2.5495997967e-03    8.0843240295e-05
   7.0000000    2.5487011821e-03    8.0801361158e-05
   7.0500000    2.5478017789e-03    8.0766139542e-05
   7.1000000    2.5469016202e-03    8.0737380041e-05
   7.1500000    2.5460007368e-03    8.0714901990e-05
   7.2000000    2.5450991690e-03    8.0698520153e-05
   7.2500000    2.5441969698e-03    8.0688032399e-05
   7.3000000    2.5432941939e-03    8.0683226511e-05
   7.3500000    2.5423908893e-03    8.0683897907e-05
   7.4000000    2.5414871013e-03    8.0689855190e-05
   7.4500000    2.5405828816e-03    8.0700902398e-05
   7.5000000    2.5396782873e-03    8.0716816775e-05
   7.5500000    2.5387733703e-03    8.0737350903e-05
   7.6000000    2.5378681705e-03    8.0762259524e-05
   7.6500000    2.5369627224e-03    8.0791318083e-05
   7.7000000    2.5360570673e-03    8.0824306300e-05
   7.7500000    2.5351512595e-03    8.0860973119e-05
   7.8000000    2.5342453596e-03    8.0901025312e-05
   7.8500000    2.5333394228e-03    8.0944155542e-05
   7.9000000    2.5324334963e-03    8.0990079646e-05
   7.9500000    2.5315276246e-03    8.1038543554e-05
   8.0000000    2.5306218548e-03    8.1089297612e-05
   8.0500000    2.5297162364e-03    8.1142072445e-05
   8.1000000    2.5288108206e-03    8.1196584000e-05
   8.1500000    2.5279056612e-03    8.1252558258e-05
   8.2000000    2.5270008163e-03    8.1309745322e-05
   8.2500000    2.5260963494e-03    8.1367910138e-05
   8.3000000    2.5251923291e-03    8.1426816707e-05
   8.3500000    2.5242888227e-03    8.1486227337e-05
   8.4000000    2.5233858895e-03    8.1545915864e-05
   8.4500000    2.5224835817e-03    8.1605676328e-05
   8.5000000    2.5215819518e-03    8.1665317653e-05
   8.5500000    2.5206810567e-03    8.1724653393e-05
   8.6000000    2.5197809569e-03    8.1783499028e-05
   8.6500000    2.5188817134e-03    8.1841677614e-05
   8.7000000    2.5179833892e-03    8.1899025207e-05
   8.7500000    2.5170860486e-03    8.1955389915e-05
   8.8000000    2.5161897552e-03    8.2010626283e-05
   8.8500000    2.5152945721e-03    8.2064590546e-05
   8.9000000    2.5144005649e-03    8.2117140208e-05
   8.9500000    2.5135078063e-03    8.2168137561e-05
   9.0000000    2.5126163754e-03    8.2217454155e-05
   9.0500000    2.5117263566e-03    8.2264972702e-05
   9.1000000    2.5108378360e-03    8.2310586603e-05
   9.1500000    2.5099508964e-03    8.2354200636e-05
   9.2000000    2.5090656155e-03    8.2395732994e-05
   9.2500000    2.5081820660e-03    8.2435114736e-05
   9.3000000    2.5073003177e-03    8.2472285708e-05
   9.3500000    2.5064204406e-03    8.2507191727e-05
   9.4000000    2.5055425062e-03    8.2539786444e-05
   9.4500000    2.5046665886e-03    8.2570034672e-05
   9.5000000    2.5037927638e-03    8.2597913410e-05
   9.5500000    2.5029211084e-03    8.2623411539e-05
   9.6000000    2.5020517003e-03    8.2646530581e-05
   9.6500000    2.5011846198e-03    8.2667285736e-05
   9.7000000    2.5003199488e-03    8.2685703148e-05
   9.7500000    2.4994577675e-03    8.2701812467e-05
   9.8000000    2.4985981512e-03    8.2715641086e-05
   9.8500000    2.4977411692e-03    8.2727216323e-05
   9.9000000    2.4968868888e-03    8.2736571979e-05
   9.9500000    2.4960353826e-03    8.2743750760e-05
  10.0000000    2.4951867355e-03    8.2748801230e-05
  10.0500000    2.4943410468e-03    8.2751773757e-05
  10.1000000    2.4934984243e-03    8.2752717821e-05
  10.1500000    2.4926589717e-03    8.2751680555e-05
  10.2000000    2.4918227761e-03    8.2748706495e-05
  10.2500000    2.4909899029e-03    8.2743838877e-05
  10.3000000    2.4901604033e-03    8.2737122383e-05
  10.3500000    2.4893343308e-03    8.2728605798e-05
  10.4000000    2.4885117578e-03    8.2718341737e-05
  10.4500000    2.4876927820e-03    8.2706383270e-05
  10.5000000    2.4868775181e-03    8.2692780932e-05
  10.5500000    2.4860660806e-03    8.2677582114e-05
  10.6000000    2.4852585656e-03    8.2660832420e-05
  10.6500000    2.4844550445e-03    8.2642578227e-05
  10.7000000    2.4836555719e-03    8.2622868800e-05
  10.7500000    2.4828602051e-03    8.2601757184e-05
  10.8000000    2.4820690199e-03    8.2579300564e-05
  10.8500000    2.4812821145e-03    8.2555559449e-05
  10.9000000    2.4804995999e-03    8.2530596169e-05
  10.9500000    2.4797215834e-03    8.2504474659e-05
  11.0000000    2.4789481562e-03    8.2477261959e-05
  11.0500000    2.4781793919e-03    8.2449030740e-05
  11.1000000    2.4774153577e-03    8.2419859570e-05
  11.1500000    2.4766561283e-03    8.2389829059e-05
  11.2000000    2.4759017925e-03    8.2359018732e-05
  11.2500000    2.4751524503e-03    8.2327508620e-05
  11.3000000    2.4744082016e-03    8.2295383454e-05
  11.3500000    2.4736691387e-03    8.2262735914e-05
  11.4000000    2.4729353447e-03    8.2229666726e-05
  11.4500000    2.4722069006e-03    8.2196280453e-05
  11.5000000    2.4714838934e-03    8.2162679386e-05
  11.5500000    2.4707664204e-03    8.2128961311e-05
  11.6000000    2.4700545852e-03    8.2095222842e-05
  11.6500000    2.4693484897e-03    8.2061565003e-05
  11.7000000    2.4686482286e-03    8.2028098797e-05
  11.7500000    2.4679538901e-03    8.1994947361e-05
  11.8000000    2.4672655625e-03    8.1962242962e-05
  11.8500000    2.4665833391e-03    8.1930123148e-05
  11.9000000    2.4659073188e-03    8.1898728992e-05
  11.9500000    2.4652376021e-03    8.1868205046e-05
  12.0000000    2.4645742889e-03    8.1838700900e-05
  12.0500000    2.4639174770e-03    8.1810373185e-05
  12.1000000    2.4632672662e-03    8.1783386311e-05
  12.1500000    2.4626237604e-03    8.1757912052e-05
  12.2000000    2.4619870687e-03    8.1734127975e-05
  12.2500000    2.4613572997e-03    8.1712213968e-05
  12.3000000    2.4607345548e-03    8.1692348605e-05
  12.3500000    2.4601189258e-03    8.1674708145e-05
  12.4000000    2.4595105013e-03    8.1659468182e-05
  12.4500000    2.4589093775e-03    8.1646805556e-05
  12.5000000    2.4583156650e-03    8.1636898669e-05
  12.5500000    2.4577294858e-03    8.1629924904e-05
  12.6000000    2.4571509637e-03    8.1626055781e-05
  12.6500000    2.4565802160e-03    8.1625454490e-05
  12.7000000    2.4560173516e-03    8.1628278423e-05
  12.7500000    2.4554624738e-03    8.1634683917e-05
  12.8000000    2.4549156878e-03    8.1644830193e-05
  12.8500000    2.4543771059e-03    8.1658880598e-05
  12.9000000    2.4538468483e-03    8.1677000246e-05
  12.9500000    2.4533250379e-03    8.1699353582e-05
  13.0000000    2.4528117915e-03    8.1726105810e-05
  13.0500000    2.4523072171e-03    8.1757426737e-05
  13.1000000    2.4518114215e-03    8.1793494786e-05
  13.1500000    2.4513245243e-03    8.1834501347e-05
  13.2000000    2.4508466653e-03    8.1880653704e-05
  13.2500000    2.4503779958e-03    8.1932174470e-05
  13.3000000    2.4499186574e-03    8.1989299803e-05
  13.3500000    2.4494687664e-03    8.2052278598e-05
  13.4000000    2.4490284195e-03    8.2121372057e-05
  13.4500000    2.4485977193e-03    8.2196853831e-05
  13.5000000    2.4481768000e-03    8.2279010822e-05
  13.5500000    2.4477658270e-03    8.2368142612e-05
  13.6000000    2.4473649694e-03    8.2464558800e-05
  13.6500000    2.4469743691e-03    8.2568576763e-05
  13.7000000    2.4465941351e-03    8.2680521067e-05
  13.7500000    2.4462243700e-03    8.2800722029e-05
  13.8000000    2.4458652014e-03    8.2929512391e-05
  13.8500000    2.4455167892e-03    8.3067223890e-05
  13.9000000    2.4451793011e-03    8.3214184849e-05
  13.9500000    2.4448528876e-03    8.3370720562e-05
  14.0000000    2.4445376835e-03    8.3537156602e-05
  14.0500000    2.4442338317e-03    8.3713821213e-05
  14.1000000    2.4439414988e-03    8.3901044040e-05
  14.1500000    2.4436608628e-03    8.4099153487e-05
  14.2000000    2.4433920849e-03    8.4308475616e-05
  14.2500000    2.4431352974e-03    8.4529333446e-05
  14.3000000    2.4428906213e-03    8.4762046873e-05
  14.3500000    2.4426581968e-03    8.5006935220e-05
