# time  Re(R=14)  Im(R=14)  Re(R=30)  Im(R=30)
0.0000000000000000e+00  4.3477292511806993e-07  4.4140553222477730e-17  -5.0876808334949644e-07  7.3478727488686547e-17
1.0000000000000000e+00  2.1207106739967914e-07  6.5113181464787393e-15  -8.5543211015928757e-08  -9.1169344034749382e-16
2.0000000000000000e+00  4.5872642382322505e-07  6.3635196350721451e-15  -2.0969268608373553e-08  4.0105467935797729e-16
2.9999999999999898e+00  7.9078503985020663e-08  1.9666663193618558e-14  1.4775339294816546e-09  1.8566251720291566e-16
3.9999999999999898e+00  -3.3600775707841907e-07  2.5201125060217958e-14  -4.3625584071685380e-09  3.3713000031965987e-16
5.0000000000000000e+00  -1.7855651044653473e-09  -3.9447213479143753e-15  1.8089588573700672e-08  -8.2315975952134661e-16
6.0000000000000204e+00  7.5269269863179361e-07  1.6885502808344627e-13  1.4880233943305167e-08  -4.0024040134126341e-16
7.0000000000000302e+00  -1.3269908346835022e-07  -5.9728762091232102e-14  1.6043351592552631e-08  1.0113763825287932e-15
8.0000000000000497e+00  -3.6101587433121030e-06  2.4843323763642001e-13  9.5399425661093200e-08  2.4306000294949299e-17
9.0000000000000604e+00  -9.1867914079804132e-07  1.2757658212273927e-12  1.1658247324512312e-07  -1.3373498397189710e-15
1.0000000000000099e+01  1.1761320933074468e-05  -1.1355318002975729e-12  1.1479868111211479e-07  3.4897000950819949e-16
1.1000000000000099e+01  2.3584858334305385e-06  1.0896913933783182e-12  1.3035180013780436e-07  9.2784003298176929e-16
1.2000000000000099e+01  -1.1246796325067975e-05  -6.6973131870527171e-12  1.8253388747102017e-07  1.1155967581412323e-15
1.3000000000000099e+01  -5.7060555321353206e-06  -1.5361102258261932e-12  1.2697066864290671e-07  -1.6490079857005139e-15
1.4000000000000099e+01  1.2891636806648021e-05  6.7477101918288052e-12  9.8975828147443472e-08  -1.2574588151285622e-15
1.5000000000000099e+01  1.8786477116128709e-05  2.3979377481812286e-11  2.8609852168926466e-08  4.9046757793091320e-15
1.6000000000000199e+01  4.2856861675976432e-05  6.9293454075448298e-12  1.4818107939280368e-07  -1.4584802492956434e-14
1.7000000000000099e+01  7.0452320818119062e-06  -1.4001072502071802e-11  1.4644488198784196e-07  1.0157826110898701e-14
1.8000000000000000e+01  -8.7229624069266168e-05  2.1936347849807384e-12  1.1468291790612085e-07  -3.0129185378341030e-15
1.9000000000000000e+01  -6.0921635791739008e-05  4.9312229283629242e-11  2.4199880520407441e-07  1.2595007769667112e-13
1.9999999999999901e+01  7.3325112739247822e-05  -2.5476968383543814e-10  3.7347621686857607e-08  -3.1062248776215119e-14
2.0999999999999901e+01  3.8666501530711513e-04  3.8495381661854982e-11  7.0942276561885231e-08  -7.3213781356680258e-14
2.1999999999999801e+01  -2.3000790595695728e-04  -4.3415634573478395e-10  1.2653118548504348e-07  2.9205582047181288e-13
2.2999999999999801e+01  -6.5879446897485275e-04  -3.4350570171033660e-10  2.1379938658570843e-07  -1.4044717084401464e-13
2.3999999999999702e+01  -1.0279084040149916e-04  -5.8514893416485333e-10  2.2674003229495727e-07  -1.5287221630731445e-13
2.4999999999999599e+01  3.0748033808574767e-03  2.2795301591393130e-10  -1.8907318246085253e-07  8.4021373698967949e-13
2.5999999999999599e+01  -3.5583403200811783e-03  9.1984062163773104e-10  -5.6522209155820894e-08  8.1486889507049258e-15
2.6999999999999499e+01  4.7465979401887062e-04  -7.8094031446533950e-09  -9.9724492180721082e-08  -1.2402324818109079e-12
2.7999999999999499e+01  -9.6957915822616855e-03  -1.1177753888250497e-09  9.8623728322528198e-07  1.5837256111382596e-12
2.8999999999999400e+01  -5.7230225054215982e-03  -2.5637990899031636e-08  5.3026006204134082e-07  -1.2540616178617643e-12
2.9999999999999400e+01  6.3005920615739064e-02  -5.7268521795179619e-08  1.3325867096502502e-06  2.8484830428137878e-12
3.0999999999999300e+01  -1.9835472341360783e-02  9.4740931836219356e-09  7.8483154034215445e-07  5.4183761913923380e-12
3.1999999999999300e+01  2.1794241310666967e-01  -4.3310762374186909e-08  2.7030167349512534e-07  -1.3631446236177594e-11
3.2999999999999197e+01  -1.2404271967621221e-01  1.1681004162257492e-07  -3.2993896474450385e-07  2.8102700994491869e-11
3.3999999999999098e+01  3.5017897276077148e-01  -5.9845065575374551e-07  -9.7684136359484765e-07  -1.3791361137409255e-11
3.4999999999999098e+01  -3.4978530973641002e-02  -2.7154442242285047e-06  -3.5903600937686137e-06  -5.0736106369033756e-11
3.5999999999998998e+01  -8.2919149820827176e-01  1.8259345230963895e-06  2.3577178389555815e-06  3.3716695435062118e-11
3.6999999999998998e+01  -1.8732987557501717e+00  -5.1245806941171545e-06  3.0735604495383833e-05  -4.2340129859157312e-10
