# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time          separation                  xA                  yA                  zA            chiA_min          lapseA_min                  xB                  yB                  zB            chiB_min          lapseB_min             theta_A              ah_r_A             theta_B              ah_r_B        theta_common         ah_r_common
   0.0000000    1.2500000000e-01    6.2500000000e-02    0.0000000000e+00    0.0000000000e+00    7.1933204383e-06    2.3154916164e-01   -6.2500000000e-02    0.0000000000e+00    0.0000000000e+00    7.1933204383e-06    2.3154916164e-01    1.3893368711e-01    0.0000000000e+00    1.3893368711e-01    0.0000000000e+00    1.2712089837e-01    0.0000000000e+00
   0.0500000    1.2500000000e-01    6.2500000000e-02    0.0000000000e+00    0.0000000000e+00    7.2549545330e-06    2.3160675911e-01   -6.2500000000e-02    0.0000000000e+00    0.0000000000e+00    7.2549545330e-06    2.3160675911e-01    1.3893366109e-01    0.0000000000e+00    1.3893366109e-01    0.0000000000e+00    1.2712081940e-01    0.0000000000e+00
   0.1000000    1.2500000000e-01    6.2500000000e-02    0.0000000000e+00    0.0000000000e+00    7.3146312022e-06    2.3166349535e-01   -6.2500000000e-02    0.0000000000e+00    0.0000000000e+00    7.3146312022e-06    2.3166349535e-01    1.3893365389e-01    0.0000000000e+00    1.3893365389e-01    0.0000000000e+00    1.2712077481e-01    0.0000000000e+00
   0.1500000    1.2500000000e-01    6.2500000000e-02    0.0000000000e+00    0.0000000000e+00    7.3723754845e-06    2.3171935470e-01   -6.2500000000e-02    0.0000000000e+00    0.0000000000e+00    7.3723754845e-06    2.3171935470e-01    1.3893366773e-01    0.0000000000e+00    1.3893366773e-01    0.0000000000e+00    1.2712075892e-01    0.0000000000e+00
   0.2000000    1.2500000000e-01    6.2500000000e-02    0.0000000000e+00    0.0000000000e+00    7.4282123646e-06    2.3177432314e-01   -6.2500000000e-02    0.0000000000e+00    0.0000000000e+00    7.4282123646e-06    2.3177432314e-01    1.3893368236e-01    0.0000000000e+00    1.3893368236e-01    0.0000000000e+00    1.2712076702e-01    0.0000000000e+00
   0.2500000    1.2500000000e-01    6.2500000000e-02    0.0000000000e+00    0.0000000000e+00    7.4821680134e-06    2.3182838953e-01   -6.2500000000e-02    0.0000000000e+00    0.0000000000e+00    7.4821680134e-06    2.3182838953e-01    1.3893368281e-01    0.0000000000e+00    1.3893368281e-01    0.0000000000e+00    1.2712079517e-01    0.0000000000e+00
   0.3000000    1.2500000000e-01    6.2500000000e-02    0.0000000000e+00    0.0000000000e+00    7.5342693950e-06    2.3188154521e-01   -6.2500000000e-02    0.0000000000e+00    0.0000000000e+00    7.5342693950e-06    2.3188154521e-01    1.3893367526e-01    0.0000000000e+00    1.3893367526e-01    0.0000000000e+00    1.2712084011e-01    0.0000000000e+00
   0.3500000    1.2500000000e-01    6.2500000000e-02    0.0000000000e+00    0.0000000000e+00    7.5845429421e-06    2.3193378239e-01   -6.2500000000e-02    0.0000000000e+00    0.0000000000e+00    7.5845429421e-06    2.3193378239e-01    1.3893367671e-01    0.0000000000e+00    1.3893367671e-01    0.0000000000e+00    1.2712089908e-01    0.0000000000e+00
   0.4000000    1.2500000000e-01    6.2500000000e-02    0.0000000000e+00    0.0000000000e+00    7.6330138420e-06    2.3198509329e-01   -6.2500000000e-02    0.0000000000e+00    0.0000000000e+00    7.6330138420e-06    2.3198509329e-01    1.3893369274e-01    0.0000000000e+00    1.3893369274e-01    0.0000000000e+00    1.2712096979e-01    0.0000000000e+00
   0.4500000    1.2500000000e-01    6.2500000000e-02    0.0000000000e+00    0.0000000000e+00    7.6797061493e-06    2.3203547005e-01   -6.2500000000e-02    0.0000000000e+00    0.0000000000e+00    7.6797061493e-06    2.3203547005e-01    1.3893370901e-01    0.0000000000e+00    1.3893370901e-01    0.0000000000e+00    1.2712105026e-01    0.0000000000e+00
