# time  Re(R=14)  Im(R=14)  Re(R=30)  Im(R=30)
0.0000000000000000e+00  4.3477292511806993e-07  4.4140553222477730e-17  -5.0876808334949644e-07  7.3478727488686547e-17
1.0000000000000000e+00  2.2735981301521414e-07  -4.6018267806977600e-15  -8.5276213870509558e-08  9.4929972979821245e-17
2.0000000000000000e+00  3.0298077874512768e-07  -2.2770718896357274e-14  -2.1365403589317554e-08  7.2602466907753590e-16
2.9999999999999800e+00  9.9546350632971213e-08  -1.8066218227017260e-14  1.5093967871864520e-09  3.7729272628553223e-16
3.9999999999999600e+00  1.9860956249103672e-08  1.9510974409039574e-15  -2.9162011799513264e-09  6.0524216868574506e-16
4.9999999999999396e+00  -3.9470484810566529e-08  1.3634597932958517e-15  1.8600730880353753e-08  3.2769986080600542e-16
5.9999999999999201e+00  2.3626733053488268e-09  -7.1518693607409022e-14  1.5664465807841368e-08  1.5495104566674415e-15
6.9999999999998996e+00  1.5571063479173962e-07  6.1204705314845531e-15  1.8029857317588215e-08  1.1235544502808990e-15
7.9999999999998703e+00  1.9836809179998795e-07  -7.2551815693445830e-15  5.0179806536471673e-08  -4.9906420659650133e-16
8.9999999999998508e+00  1.7989879816906828e-07  2.5825849509318449e-14  6.1560675177351140e-08  -1.0223896757476395e-15
9.9999999999998295e+00  5.2178570197490182e-07  -4.8966797155533187e-16  6.5788708831599895e-08  -6.1017694417255013e-16
1.0999999999999799e+01  7.3820314301594756e-07  5.5451323748447954e-15  6.3984333015069817e-08  2.5834058391439966e-16
1.1999999999999799e+01  4.3926488382625259e-07  8.1892426875950263e-14  9.0370410783595314e-08  -1.1634344894696299e-15
1.2999999999999799e+01  2.2442391508174906e-07  7.2598463671507300e-14  6.8066759972199399e-08  2.4301366053372210e-15
1.3999999999999700e+01  2.9360913414397133e-07  5.5589088685546563e-14  9.6801479170929182e-08  2.3695347161509666e-16
1.4999999999999700e+01  5.2411975052721433e-07  -7.2821607340019277e-14  5.1559824855045505e-08  -1.5579951584031276e-16
1.5999999999999700e+01  5.4030196047213484e-07  -5.7825236452734055e-14  1.0334076319031029e-07  1.5742225052070942e-15
1.6999999999999901e+01  3.6254512329015602e-07  -9.7502025797317995e-14  9.0447735713593212e-08  -2.7618155282332154e-15
1.8000000000000000e+01  1.3032323697473355e-06  1.5168515063365201e-13  6.3751297925798493e-08  -1.7311824993051660e-16
1.9000000000000199e+01  -1.4086478924947386e-06  -4.3931523198543875e-14  1.1510620409756104e-07  9.7328499027750056e-16
2.0000000000000298e+01  -4.2043065770399564e-06  1.9110884960844643e-13  9.4590858566567174e-08  2.4286910839038622e-15
2.1000000000000501e+01  2.5431882118972054e-06  9.9685986869998625e-14  6.9306101907102930e-08  -3.1556188100960588e-15
2.2000000000000600e+01  7.5720288871730488e-06  -6.4860419076619038e-14  1.1247421021438346e-07  1.7195547041105704e-15
2.3000000000000799e+01  -2.4746005087586473e-06  -1.2706968222507974e-13  7.5205477720287848e-08  2.7315221256370378e-15
