# time  R_areal_min  r_at_R_areal_min
0.0000000000000000e+00  3.8917205266208321e+00  1.5649980031936144e+00
1.0000000000000000e+00  3.8917215114894299e+00  1.5649980031936144e+00
2.0000000000000000e+00  3.8917165184498064e+00  1.5649980031936144e+00
2.9999999999999800e+00  3.8916988576746454e+00  1.5649980031936144e+00
3.9999999999999600e+00  3.8916751939663619e+00  1.5649980031936144e+00
4.9999999999999396e+00  3.8916469270349552e+00  1.5649980031936144e+00
5.9999999999999201e+00  3.8916163572362565e+00  1.5649980031936144e+00
6.9999999999998996e+00  3.8915944592317890e+00  1.5649980031936144e+00
7.9999999999998703e+00  3.8916013309136814e+00  1.5649980031936144e+00
8.9999999999998508e+00  3.8916595732280790e+00  1.5649980031936144e+00
9.9999999999998295e+00  3.8917850913682335e+00  1.5649980031936144e+00
1.0999999999999799e+01  3.8919716906278947e+00  1.5649980031936144e+00
1.1999999999999799e+01  3.8930732690029197e+00  1.5649980031936144e+00
1.2999999999999799e+01  3.8933015796698065e+00  1.5649980031936144e+00
1.3999999999999700e+01  3.8934627579102612e+00  1.5649980031936144e+00
1.4999999999999700e+01  3.8941152301520412e+00  1.5649980031936144e+00
1.5999999999999700e+01  3.8928663398233390e+00  1.5649980031936144e+00
1.6999999999999901e+01  3.8947561980239507e+00  1.6898132293244719e+00
1.8000000000000000e+01  3.8955693183126252e+00  1.6898132293244719e+00
1.9000000000000199e+01  3.8959785364024939e+00  1.6898132293244719e+00
2.0000000000000298e+01  3.8962216648787305e+00  1.6898132293244719e+00
2.1000000000000501e+01  3.8961750329384208e+00  1.6898132293244719e+00
2.2000000000000600e+01  3.8955565721886676e+00  1.6898132293244719e+00
2.3000000000000799e+01  3.8942037282249231e+00  1.6898132293244719e+00
