time  net_outward_flux  psi4_boundary_amp
0.0000000000000000e+00  0.0000000000000000e+00  2.4721844355569900e-09
1.0000000000000000e+00  -8.8169890825303726e-09  1.6561222758599799e-08
2.0000000000000000e+00  -1.3330944476584512e-07  1.8493560118686100e-08
2.9999999999999800e+00  -3.4655837526755493e-07  1.8551532927825715e-08
3.9999999999999600e+00  -5.4171604123435538e-07  1.8939351108931787e-08
4.9999999999999396e+00  -7.0248266286502419e-07  1.9328848246671352e-08
5.9999999999999201e+00  -8.7175980874865680e-07  1.9720839175658930e-08
6.9999999999998996e+00  -1.0091990076355740e-06  2.0299983729828814e-08
7.9999999999998703e+00  -1.1567235976192840e-06  2.0412506350476489e-08
8.9999999999998508e+00  -1.3057812564188273e-06  2.0583307858853247e-08
9.9999999999998295e+00  -1.4236515144056107e-06  2.0973072398998961e-08
1.0999999999999799e+01  -1.5406165135336661e-06  2.1862441172867982e-08
1.1999999999999799e+01  -1.6305158524862937e-06  2.2602621056023804e-08
1.2999999999999799e+01  -1.6893334136475631e-06  2.2825117533706614e-08
1.3999999999999700e+01  -1.7788349223983664e-06  2.2979795051143289e-08
1.4999999999999700e+01  -1.8770393504949694e-06  2.3469050919022412e-08
1.5999999999999700e+01  -1.9191907464358674e-06  2.5015118278264263e-08
1.6999999999999901e+01  -1.9459182989883405e-06  2.5014942115414189e-08
1.8000000000000000e+01  -2.0002220841267492e-06  2.4718652479063358e-08
1.9000000000000199e+01  -2.0311883538532711e-06  2.5673685262180948e-08
2.0000000000000298e+01  -2.0155599504338482e-06  2.6638987518866940e-08
2.1000000000000501e+01  -2.0059548972294156e-06  2.8385333347647229e-08
2.2000000000000600e+01  -2.0237696887090413e-06  3.0870552315058168e-08
2.3000000000000799e+01  -2.0243222597768408e-06  3.2525772331554063e-08
