# time  P_total  P_z_beam  beam_ratio  beaming_gain  wavezone_std
0.0000000000000000e+00  6.3005269974272413e-14  1.5664632499060614e-28  2.0480657584767483e-06  1.0000081922630339e+00  1.4131112735098514e+00
1.0000000000000000e+00  1.7727763898798750e-14  1.4264153816338508e-28  6.9549007475675431e-12  1.0000000000278195e+00  1.1885733121492985e+00
2.0000000000000000e+00  3.1463098256047819e-14  2.3110702869962377e-27  4.2427043899937837e-12  1.0000000000169709e+00  1.2235504500611454e+00
2.9999999999999800e+00  3.7661404008896426e-15  2.3477645849382930e-27  9.1083808616913651e-11  1.0000000003643352e+00  7.7495167551582933e-01
3.9999999999999600e+00  1.8386375396269455e-14  2.2335224796155493e-27  8.0805828910874827e-13  1.0000000000032323e+00  6.1216045975914857e-01
4.9999999999999396e+00  5.6294504745176257e-15  4.0842569183069108e-27  1.3756045870454126e-11  1.0000000000550242e+00  7.0481394071765369e-01
5.9999999999999201e+00  4.8519172999799505e-14  7.9466471503635677e-27  1.8305272621344043e-11  1.0000000000732210e+00  1.1065065865868147e+00
6.9999999999998996e+00  3.9480621317932214e-14  5.4179316932020194e-27  1.5564734686602789e-12  1.0000000000062259e+00  6.9092252597453352e-01
7.9999999999998703e+00  6.7271316122002466e-14  6.6168816347862214e-27  2.7048539237038306e-13  1.0000000000010820e+00  3.4754855567925080e-01
8.9999999999998508e+00  5.8235877525384535e-14  5.9489662688273076e-27  2.8325076285183665e-12  1.0000000000113300e+00  8.9787491103540784e-01
9.9999999999998295e+00  2.2639819520984846e-13  5.3951048931560620e-27  2.2733212239756220e-13  1.0000000000009093e+00  6.5082300775979662e-01
1.0999999999999799e+01  2.3612248256214324e-13  1.6099537278689411e-26  1.4303282345514548e-13  1.0000000000005722e+00  4.7621532291705793e-01
1.1999999999999799e+01  1.9205565515416503e-13  7.5053615421429420e-27  3.8774559345966286e-14  1.0000000000001552e+00  1.6653091255206970e-01
1.2999999999999799e+01  6.5060691506661293e-13  1.7671356730256786e-26  8.5417150402686755e-10  1.0000000034166860e+00  9.6954710015092926e-01
1.3999999999999700e+01  9.4328347970828658e-13  2.8073632378019413e-26  7.2507199060312707e-13  1.0000000000029003e+00  9.3939442096017645e-01
1.4999999999999700e+01  1.1766211575595130e-13  9.0134822247984794e-27  8.8667453531897836e-13  1.0000000000035467e+00  7.7523128738099334e-01
1.5999999999999700e+01  4.7735080631152049e-13  3.9845571606821815e-26  1.1206774517251677e-13  1.0000000000004483e+00  4.4251718926488393e-01
1.6999999999999901e+01  5.5978823658572275e-13  5.2110990151522233e-26  1.5194217074261107e-13  1.0000000000006077e+00  5.9585592933777742e-01
1.8000000000000000e+01  1.6628789769718628e-12  5.8341865134811426e-26  1.3421071789789498e-12  1.0000000000053684e+00  8.5054090948786321e-01
1.9000000000000199e+01  2.7668132898228232e-12  1.9292025204693511e-25  1.3982110021020130e-13  1.0000000000005593e+00  7.4527947409514794e-01
2.0000000000000298e+01  7.3077173968275144e-12  9.2461763795276282e-26  2.2069015370106181e-14  1.0000000000000884e+00  4.9645619874799823e-01
2.1000000000000501e+01  9.0156294499638679e-12  1.4244165383808738e-25  7.1527792158554105e-14  1.0000000000002862e+00  6.4403993808873006e-01
2.2000000000000600e+01  1.7286597633480487e-11  7.0846683116028239e-26  9.7721539772030913e-13  1.0000000000039089e+00  1.1978385358536863e+00
2.3000000000000799e+01  6.7539774056340067e-12  1.6449784549812552e-25  3.0283505414841587e-12  1.0000000000121134e+00  1.0690199900931572e+00
2.4000000000000998e+01  1.8186883620365518e-11  2.8451993631181786e-25  9.2716270622038051e-14  1.0000000000003708e+00  7.2539417097915182e-01
2.5000000000001101e+01  2.3811570226227433e-11  2.5432235559021857e-25  7.7033668322867109e-14  1.0000000000003082e+00  6.7545599737158646e-01
2.6000000000001300e+01  1.5543148084048481e-11  2.7910266676227646e-25  1.8342711542239483e-14  1.0000000000000733e+00  3.6781540019556874e-01
2.7000000000001400e+01  5.5596710220604566e-11  3.2718249789712139e-25  1.7938609151907536e-12  1.0000000000071754e+00  1.1578439627676915e+00
2.8000000000001599e+01  1.6391920799453633e-11  9.1694063605850824e-25  1.4063245142512330e-13  1.0000000000005624e+00  4.3791225853411747e-01
2.9000000000001702e+01  2.8986518232766041e-11  1.4404582786026683e-24  1.2240655925223916e-12  1.0000000000048963e+00  5.2782993056696337e-01
3.0000000000001901e+01  3.1126594837202182e-11  6.6496687714472244e-24  2.5434180900595798e-13  1.0000000000010174e+00  5.1742756773206833e-01
3.1000000000002000e+01  6.2733968299594996e-12  2.9081098657731276e-24  1.3140713738448637e-12  1.0000000000052562e+00  5.9280111601266949e-01
3.2000000000002203e+01  4.0003704709350831e-11  4.5143772561590757e-24  3.2241063742967051e-13  1.0000000000012896e+00  7.5680641030560825e-01
3.3000000000001997e+01  5.6901774180531860e-11  7.7083690491360885e-24  2.4692150522596114e-13  1.0000000000009877e+00  5.3998002998426120e-01
3.4000000000001798e+01  1.5332315647246601e-11  1.0938273728480234e-23  1.7567966222065398e-12  1.0000000000070273e+00  5.1177189489077668e-01
3.5000000000001599e+01  6.0236696290287775e-11  1.9293883826811699e-23  5.3227580988789545e-12  1.0000000000212910e+00  7.9356168181657816e-01
3.6000000000001400e+01  8.2164025324081177e-11  3.1783189272539090e-23  7.4534222888362399e-13  1.0000000000029814e+00  8.7348659931397554e-01
