# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time           min_lapse             min_chi           max_abs_K         min_lapse_x         min_lapse_y         min_lapse_z             min_phi             max_phi              min_Pi              max_Pi
   0.0000000    1.9389071244e-01    1.0000000000e-08    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2988671046e-01    9.2988671046e-01    0.0000000000e+00    0.0000000000e+00
   0.0100000    1.9390112553e-01    1.0000000000e-08    3.8429926009e-05    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2985236327e-01    9.2985236327e-01   -9.7355136616e-07    9.7355136601e-07
   0.0200000    1.9391129636e-01    1.0000000000e-08    7.5971959796e-05    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2981881523e-01    9.2981881523e-01   -1.9449608351e-06    1.9449608355e-06
   0.0300000    1.9392123453e-01    1.0000000000e-08    1.1264284349e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2978603466e-01    9.2978603466e-01   -2.9136802687e-06    2.9136802693e-06
   0.0400000    1.9393094917e-01    1.0000000000e-08    1.4846650589e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2975399147e-01    9.2975399147e-01   -3.8793765080e-06    3.8793765085e-06
   0.0500000    1.9394044894e-01    1.0000000000e-08    1.8346761950e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2972265707e-01    9.2972265707e-01   -4.8417148426e-06    4.8417148434e-06
   0.0600000    1.9394974206e-01    1.0000000000e-08    2.1767688006e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2969200430e-01    9.2969200430e-01   -5.8004399290e-06    5.8004399300e-06
   0.0700000    1.9395883637e-01    1.0000000000e-08    2.5112623355e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2966200732e-01    9.2966200732e-01   -6.7555530378e-06    6.7555530373e-06
   0.0800000    1.9396773931e-01    1.0000000000e-08    2.8384740193e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2963264156e-01    9.2963264156e-01   -7.7071895082e-06    7.7071895076e-06
   0.0900000    1.9397645797e-01    1.0000000000e-08    3.1587233509e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2960388364e-01    9.2960388364e-01   -8.6553169901e-06    8.6553169893e-06
   0.1000000    1.9398499910e-01    1.0000000000e-08    3.4723039836e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2957571127e-01    9.2957571127e-01   -9.6001368168e-06    9.6001368158e-06
   0.1100000    1.9399336912e-01    1.0000000000e-08    3.7794803082e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2954810325e-01    9.2954810325e-01   -1.0541922909e-05    1.0541922908e-05
   0.1200000    1.9400157416e-01    1.0000000000e-08    4.0804786634e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2952103936e-01    9.2952103936e-01   -1.1481007429e-05    1.1481007428e-05
   0.1300000    1.9400962006e-01    1.0000000000e-08    4.3754917761e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2949450031e-01    9.2949450031e-01   -1.2418054684e-05    1.2418054683e-05
   0.1400000    1.9401751238e-01    1.0000000000e-08    4.6646754858e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2946846772e-01    9.2946846772e-01   -1.3353399190e-05    1.3353399189e-05
   0.1500000    1.9402525644e-01    1.0000000000e-08    4.9481537561e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2944292405e-01    9.2944292405e-01   -1.4287378521e-05    1.4287378520e-05
   0.1600000    1.9403285732e-01    1.0000000000e-08    5.2260271600e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2941785255e-01    9.2941785255e-01   -1.5221007512e-05    1.5221007513e-05
   0.1700000    1.9404031985e-01    1.0000000000e-08    5.4983829150e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2939323724e-01    9.2939323724e-01   -1.6154140417e-05    1.6154140418e-05
   0.1800000    1.9404764866e-01    1.0000000000e-08    5.7653127516e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2936906283e-01    9.2936906283e-01   -1.7087185809e-05    1.7087185811e-05
   0.1900000    1.9405484817e-01    1.0000000000e-08    6.0269719577e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2934531473e-01    9.2934531473e-01   -1.8020560908e-05    1.8020560910e-05
   0.2000000    1.9406192260e-01    1.0000000000e-08    6.2834046275e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2932197899e-01    9.2932197899e-01   -1.8955417859e-05    1.8955417862e-05
   0.2100000    1.9406887599e-01    1.0000000000e-08    6.5347248328e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2929904227e-01    9.2929904227e-01   -1.9891826984e-05    1.9891826987e-05
   0.2200000    1.9407571221e-01    1.0000000000e-08    6.7810597481e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2927649181e-01    9.2927649181e-01   -2.0829807351e-05    2.0829807354e-05
   0.2300000    1.9408243494e-01    1.0000000000e-08    7.0225480161e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2925431542e-01    9.2925431542e-01   -2.1770042868e-05    2.1770042870e-05
   0.2400000    1.9408904772e-01    1.0000000000e-08    7.2593778776e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2923250140e-01    9.2923250140e-01   -2.2712987865e-05    2.2712987868e-05
   0.2500000    1.9409555393e-01    1.0000000000e-08    7.4917238795e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2921103858e-01    9.2921103858e-01   -2.3661022119e-05    2.3661022118e-05
   0.2600000    1.9410195681e-01    1.0000000000e-08    7.7196733244e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2918991627e-01    9.2918991627e-01   -2.4612329812e-05    2.4612329811e-05
   0.2700000    1.9410825947e-01    1.0000000000e-08    7.9433722900e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2916912421e-01    9.2916912421e-01   -2.5563510076e-05    2.5563510075e-05
   0.2800000    1.9411446486e-01    1.0000000000e-08    8.1629608230e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2914865259e-01    9.2914865259e-01   -2.6514806651e-05    2.6514806650e-05
   0.2900000    1.9412057582e-01    1.0000000000e-08    8.3785712314e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2912849201e-01    9.2912849201e-01   -2.7472010683e-05    2.7472010683e-05
