# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time              L2_Ham              L2_Mom
   0.0000000    8.4283630798e-04    1.0083593449e-06
   0.0100000    1.0200100866e-03    1.2306914205e-06
   0.0200000    1.0200096108e-03    1.2681087749e-06
   0.0300000    1.0200090867e-03    1.3248110398e-06
   0.0400000    1.0200085197e-03    1.3961755063e-06
   0.0500000    1.0200079156e-03    1.4781297976e-06
   0.0600000    1.0200072800e-03    1.5673454849e-06
   0.0700000    1.0200066187e-03    1.6612268312e-06
   0.0800000    1.0200059372e-03    1.7578062671e-06
   0.0900000    1.0200052414e-03    1.8556174629e-06
   0.1000000    1.0200045368e-03    1.9535790237e-06
   0.1100000    1.0200038291e-03    2.0508994152e-06
   0.1200000    1.0200031237e-03    2.1470034372e-06
   0.1300000    1.0200024263e-03    2.2414769367e-06
   0.1400000    1.0200017420e-03    2.3340257863e-06
   0.1500000    1.0200010763e-03    2.4244455852e-06
   0.1600000    1.0200004343e-03    2.5125992639e-06
   0.1700000    1.0199998210e-03    2.5984004694e-06
   0.1800000    1.0199992414e-03    2.6818011849e-06
   0.1900000    1.0199987003e-03    2.7627824538e-06
   0.2000000    1.0199982025e-03    2.8413473821e-06
   0.2100000    1.0199977524e-03    2.9175158162e-06
   0.2200000    1.0199973545e-03    2.9913202621e-06
   0.2300000    1.0199970131e-03    3.0628027360e-06
   0.2400000    1.0199967322e-03    3.1320123201e-06
   0.2500000    1.0199965159e-03    3.1990032568e-06
   0.2600000    1.0199963682e-03    3.2638334564e-06
   0.2700000    1.0199962927e-03    3.3265633272e-06
   0.2800000    1.0199962931e-03    3.3872548603e-06
   0.2900000    1.0199963727e-03    3.4459709152e-06
   0.3000000    1.0199965349e-03    3.5027746617e-06
   0.3100000    1.0199967826e-03    3.5577291426e-06
   0.3200000    1.0199971189e-03    3.6108969300e-06
   0.3300000    1.0199975464e-03    3.6623398544e-06
   0.3400000    1.0199980680e-03    3.7121187902e-06
   0.3500000    1.0199986860e-03    3.7602934859e-06
   0.3600000    1.0199994030e-03    3.8069224303e-06
   0.3700000    1.0200002212e-03    3.8520627484e-06
   0.3800000    1.0200011428e-03    3.8957701236e-06
   0.3900000    1.0200021697e-03    3.9380987442e-06
   0.4000000    1.0200033040e-03    3.9791012681e-06
   0.4100000    1.0200045475e-03    4.0188288049e-06
   0.4200000    1.0200059017e-03    4.0573309091e-06
   0.4300000    1.0200073684e-03    4.0946555859e-06
   0.4400000    1.0200089489e-03    4.1308493037e-06
   0.4500000    1.0200106447e-03    4.1659570138e-06
   0.4600000    1.0200124570e-03    4.2000221734e-06
   0.4700000    1.0200143869e-03    4.2330867723e-06
   0.4800000    1.0200164354e-03    4.2651913619e-06
   0.4900000    1.0200186035e-03    4.2963750870e-06
   0.5000000    1.0200208919e-03    4.3266757198e-06
   0.5100000    1.0200233015e-03    4.3561296960e-06
   0.5200000    1.0200258329e-03    4.3847721511e-06
   0.5300000    1.0200284866e-03    4.4126369582e-06
   0.5400000    1.0200312631e-03    4.4397567648e-06
   0.5500000    1.0200341627e-03    4.4661630297e-06
   0.5600000    1.0200371859e-03    4.4918860579e-06
   0.5700000    1.0200403326e-03    4.5169550349e-06
   0.5800000    1.0200436032e-03    4.5413980595e-06
   0.5900000    1.0200469977e-03    4.5652421759e-06
   0.6000000    1.0200505160e-03    4.5885134064e-06
   0.6100000    1.0200541582e-03    4.6112367841e-06
   0.6200000    1.0200579241e-03    4.6334363859e-06
   0.6300000    1.0200618135e-03    4.6551353672e-06
   0.6400000    1.0200658262e-03    4.6763559967e-06
   0.6500000    1.0200699618e-03    4.6971196919e-06
   0.6600000    1.0200742201e-03    4.7174470535e-06
   0.6700000    1.0200786005e-03    4.7373578992e-06
   0.6800000    1.0200831028e-03    4.7568712964e-06
   0.6900000    1.0200877262e-03    4.7760055925e-06
   0.7000000    1.0200924703e-03    4.7947784429e-06
   0.7100000    1.0200973346e-03    4.8132068376e-06
   0.7200000    1.0201023182e-03    4.8313071244e-06
   0.7300000    1.0201074207e-03    4.8490950317e-06
   0.7400000    1.0201126412e-03    4.8665856890e-06
   0.7500000    1.0201179789e-03    4.8837936470e-06
   0.7600000    1.0201234331e-03    4.9007328970e-06
   0.7700000    1.0201290029e-03    4.9174168908e-06
   0.7800000    1.0201346875e-03    4.9338585604e-06
   0.7900000    1.0201404860e-03    4.9500703373e-06
