# thinned to dt=0.05 from the every-step stream
#       time           min_lapse             min_chi           max_abs_K         min_lapse_x         min_lapse_y         min_lapse_z             min_phi             max_phi              min_Pi              max_Pi
   0.0000000    2.5999088578e-07    7.1933204383e-06    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2281242302e-01   -3.6606177064e-02    0.0000000000e+00    0.0000000000e+00
   0.0500000    2.5999088602e-07    7.1933204399e-06    9.9084511607e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2281242302e-01   -3.6606176592e-02   -3.0188546978e-05    3.4326150150e-04
   0.1000000    2.5999094278e-07    7.1933205143e-06    1.9729236153e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2281242303e-01   -3.6606175428e-02   -5.9314651010e-05    6.8577500812e-04
   0.1500000    2.5999220961e-07    7.1933211193e-06    2.9372345074e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2281242336e-01   -3.6606174184e-02   -8.6381774928e-05    1.0268078091e-03
   0.2000000    2.6000107389e-07    7.1933230840e-06    3.8752281296e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2281242564e-01   -3.6606173411e-02   -1.1049864061e-04    1.3656571356e-03
   0.2500000    2.6002712406e-07    7.1933258819e-06    4.7789566740e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2281243234e-01   -3.6606173262e-02   -1.3082946853e-04    1.7016346849e-03
   0.3000000    2.6014792964e-07    7.1933258094e-06    5.6411970603e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2281243249e-01   -3.6606173474e-02   -1.4652937937e-04    2.0340675025e-03
   0.3500000    2.6303066553e-07    7.1933265223e-06    6.4555719915e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2281234444e-01   -3.6606173636e-02   -1.5674016955e-04    2.3623222722e-03
   0.4000000    2.7633211760e-07    7.1933656473e-06    7.2166756202e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2281193868e-01   -3.6606173498e-02   -1.6439823525e-04    2.6858258718e-03
   0.4500000    3.1264805943e-07    7.1935410485e-06    7.9201748290e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2281083236e-01   -3.6606173088e-02   -1.6631282399e-04    3.0040631608e-03
