# thinned to dt=0.05 from the every-step stream
#       time              L2_Ham              L2_Mom
   0.0000000    2.0955094722e-03    0.0000000000e+00
   0.0500000    2.5070149859e-03    6.1971129875e-05
   0.1000000    2.5072596587e-03    1.2391481781e-04
   0.1500000    2.5076472533e-03    1.8579788647e-04
   0.2000000    2.5081557744e-03    2.4758071503e-04
   0.2500000    2.5087679953e-03    3.0922025314e-04
   0.3000000    2.5094892818e-03    3.7067692640e-04
   0.3500000    2.5103525426e-03    4.3192183475e-04
   0.4000000    2.5113982450e-03    4.9293573257e-04
   0.4500000    2.5126422301e-03    5.5369815618e-04
   0.5000000    2.5140610933e-03    6.1417619666e-04
   0.5500000    2.5156112956e-03    6.7432227597e-04
   0.6000000    2.5172649844e-03    7.3408045166e-04
   0.6500000    2.5190278259e-03    7.9339384419e-04
   0.7000000    2.5209236942e-03    8.5220502898e-04
   0.7500000    2.5229673177e-03    9.1045164690e-04
   0.8000000    2.5251556098e-03    9.6806431494e-04
   0.8500000    2.5274830831e-03    1.0249695081e-03
   0.9000000    2.5299572472e-03    1.0810923277e-03
   0.9500000    2.5325908097e-03    1.1363527310e-03
   1.0000000    2.5353763292e-03    1.1906571260e-03
   1.0500000    2.5382693592e-03    1.2438925232e-03
   1.1000000    2.5411983193e-03    1.2959302781e-03
   1.1500000    2.5440934619e-03    1.3466376925e-03
   1.2000000    2.5469139768e-03    1.3958924284e-03
   1.2500000    2.5496600673e-03    1.4435936776e-03
   1.3000000    2.5523712251e-03    1.4896665498e-03
   1.3500000    2.5551160865e-03    1.5340586005e-03
   1.4000000    2.5579743334e-03    1.5767284344e-03
   1.4500000    2.5610098522e-03    1.6176309218e-03
   1.5000000    2.5642423025e-03    1.6567054747e-03
   1.5500000    2.5676324290e-03    1.6938737538e-03
   1.6000000    2.5710937260e-03    1.7290485877e-03
   1.6500000    2.5745283266e-03    1.7621505610e-03
   1.7000000    2.5778689488e-03    1.7931244168e-03
   1.7500000    2.5811035537e-03    1.8219479467e-03
   1.8000000    2.5842693612e-03    1.8486299604e-03
   1.8500000    2.5874216504e-03    1.8731993568e-03
   1.9000000    2.5905977376e-03    1.8956916150e-03
   1.9500000    2.5937979870e-03    1.9161404259e-03
   2.0000000    2.5969931004e-03    1.9345795003e-03
   2.0500000    2.6001493302e-03    1.9510530234e-03
   2.1000000    2.6032525872e-03    1.9656274336e-03
   2.1500000    2.6063153405e-03    1.9783958602e-03
   2.2000000    2.6093636298e-03    1.9894716440e-03
   2.2500000    2.6124154846e-03    1.9989750829e-03
   2.3000000    2.6154670103e-03    2.0070222295e-03
   2.3500000    2.6184955039e-03    2.0137225161e-03
