# time  R_areal_min  r_at_R_areal_min
0.0000000000000000e+00  3.8899727479802544e+00  1.5943626273530123e+00
5.0000000000000000e-01  3.8899727667688975e+00  1.5943626273530123e+00
1.0000000000000000e+00  3.8899727590573252e+00  1.5943626273530123e+00
1.5000000000000000e+00  3.8899728526749726e+00  1.5943626273530123e+00
2.0000000000000000e+00  3.8899724106426041e+00  1.5943626273530123e+00
2.4999999999999898e+00  3.8899719116244800e+00  1.5943626273530123e+00
2.9999999999999800e+00  3.8899713204586912e+00  1.5943626273530123e+00
3.4999999999999698e+00  3.8899706086731780e+00  1.5943626273530123e+00
3.9999999999999600e+00  3.8899698795388025e+00  1.5943626273530123e+00
4.4999999999999503e+00  3.8899691506165568e+00  1.5943626273530123e+00
4.9999999999999396e+00  3.8899683514870964e+00  1.5943626273530123e+00
5.4999999999999298e+00  3.8899672841348254e+00  1.5943626273530123e+00
5.9999999999999201e+00  3.8899663202506654e+00  1.5943626273530123e+00
6.4999999999999103e+00  3.8899655831051998e+00  1.5943626273530123e+00
6.9999999999998996e+00  3.8899650569222244e+00  1.5943626273530123e+00
7.4999999999998801e+00  3.8899648844019197e+00  1.5943626273530123e+00
7.9999999999998703e+00  3.8899649646132715e+00  1.5943626273530123e+00
8.4999999999998597e+00  3.8899656032663024e+00  1.5943626273530123e+00
8.9999999999998508e+00  3.8899669170913529e+00  1.5943626273530123e+00
9.4999999999998401e+00  3.8899688785653863e+00  1.5943626273530123e+00
9.9999999999998295e+00  3.8899715897208522e+00  1.5943626273530123e+00
1.0499999999999799e+01  3.8899752591288306e+00  1.5943626273530123e+00
1.0999999999999799e+01  3.8899800818934924e+00  1.5943626273530123e+00
1.1499999999999799e+01  3.8899861186163349e+00  1.5943626273530123e+00
1.1999999999999799e+01  3.8899935128225152e+00  1.5943626273530123e+00
1.2499999999999799e+01  3.8900022597099748e+00  1.5943626273530123e+00
1.2999999999999799e+01  3.8900124965309617e+00  1.5943626273530123e+00
1.3499999999999799e+01  3.8900242134332874e+00  1.5943626273530123e+00
