# thinned to dt=0.05 from the every-step stream
#       time              L2_Ham              L2_Mom
   0.0000000    2.0955094722e-03    0.0000000000e+00
   0.0500000    2.5111118813e-03    2.4806210932e-07
   0.1000000    2.5153159975e-03    5.4480199118e-07
   0.1500000    2.5195349029e-03    8.9009169643e-07
   0.2000000    2.5237645251e-03    1.2832999891e-06
   0.2500000    2.5280014107e-03    1.7241754431e-06
   0.3000000    2.5322426566e-03    2.2128727087e-06
   0.3500000    2.5364858710e-03    2.7498385559e-06
   0.4000000    2.5407291580e-03    3.3357291631e-06
   0.4500000    2.5449634458e-03    3.9739801207e-06
   0.5000000    2.5491370385e-03    4.8472717692e-06
   0.5500000    2.5532721997e-03    6.2959041937e-06
   0.6000000    2.5571712932e-03    8.5349285948e-06
   0.6500000    2.5601881541e-03    1.1743118364e-05
   0.7000000    2.5609404533e-03    1.6229901673e-05
   0.7500000    2.5570072157e-03    2.2720140689e-05
   0.8000000    2.5443549488e-03    3.2914123301e-05
   0.8500000    2.5157668828e-03    5.0836984261e-05
   0.9000000    2.4629518272e-03    5.6249170684e-05
   0.9500000    2.4021942566e-03    3.3953961373e-04
   1.0000000    2.6646781991e-03    2.0475785977e-04
   1.0500000    2.9928436587e-03    1.2282878009e-04
   1.1000000    3.0755111506e-03    6.5495384174e-05
   1.1500000    2.9368032033e-03    3.1798437749e-05
   1.2000000    2.5942761751e-03    1.5960289270e-05
   1.2500000    2.1083779388e-03    8.9610047199e-06
   1.3000000    1.6536861476e-03    8.9611769449e-06
   1.3500000    1.3651929264e-03    2.6478589924e-04
   1.4000000    1.3117568192e-03    1.9838365488e-04
   1.4500000    1.4281381717e-03    1.4063341388e-04
   1.5000000    1.7844583103e-03    1.2114678034e-04
   1.5500000    2.4597046194e-03    1.2164981199e-04
   1.6000000    3.2462378824e-03    1.2358668270e-04
   1.6500000    3.5121607573e-03    9.5549405936e-05
   1.7000000    2.9404133503e-03    6.3191876583e-05
   1.7500000    1.9901899660e-03    6.3387223009e-05
   1.8000000    1.4105928054e-03    3.4323986411e-05
   1.8500000    1.3271736151e-03    2.8268416080e-05
   1.9000000    1.3112349679e-03    2.9508223428e-05
   1.9500000    1.3078757842e-03    4.5566481451e-05
   2.0000000    1.6972876668e-03    1.0389356478e-04
   2.0500000    3.0620270303e-03    2.7883688326e-04
   2.1000000    6.7906349824e-03    1.0068694652e-03
   2.1500000    7.8190860673e-02    1.5890629311e-02
   2.2000000    1.8501964162e-02    4.4595867323e-03
   2.2500000    1.9284718628e-02    6.0684548629e-03
   2.3000000    3.7004145076e-03    1.0453574237e-03
   2.3500000    2.9972810886e-03    4.8562014975e-04
   2.4000000    3.1711066517e-03    3.1843859281e-04
   2.4500000    3.2438861034e-03    2.7634696535e-04
   2.5000000    3.1375303865e-03    2.8863474126e-04
