# time  R_areal_min  r_at_R_areal_min
0.0000000000000000e+00  3.8917205266208321e+00  1.5649980031936144e+00
5.0000000000000000e-01  3.8917210815734307e+00  1.5649980031936144e+00
1.0000000000000000e+00  3.8917215114894108e+00  1.5649980031936144e+00
1.5000000000000000e+00  3.8917234344169045e+00  1.5649980031936144e+00
2.0000000000000000e+00  3.8917165138081264e+00  1.5649980031936144e+00
2.4999999999999898e+00  3.8917085882535432e+00  1.5649980031936144e+00
2.9999999999999800e+00  3.8916988092710501e+00  1.5649980031936144e+00
3.4999999999999698e+00  3.8916875724531237e+00  1.5649980031936144e+00
3.9999999999999600e+00  3.8916751698680399e+00  1.5649980031936144e+00
4.4999999999999503e+00  3.8916616110923479e+00  1.5649980031936144e+00
4.9999999999999396e+00  3.8916470390287166e+00  1.5649980031936144e+00
5.4999999999999298e+00  3.8916317781203484e+00  1.5649980031936144e+00
5.9999999999999201e+00  3.8916167962385013e+00  1.5649980031936144e+00
6.4999999999999103e+00  3.8916038206372083e+00  1.5649980031936144e+00
6.9999999999998996e+00  3.8915952028402017e+00  1.5649980031936144e+00
7.4999999999998801e+00  3.8915937017088815e+00  1.5649980031936144e+00
7.9999999999998703e+00  3.8916021319506759e+00  1.5649980031936144e+00
8.4999999999998597e+00  3.8916234400433378e+00  1.5649980031936144e+00
8.9999999999998508e+00  3.8916599395538634e+00  1.5649980031936144e+00
9.4999999999998401e+00  3.8917133590331572e+00  1.5649980031936144e+00
9.9999999999998295e+00  3.8917848466189033e+00  1.5649980031936144e+00
1.0499999999999799e+01  3.8918701608281472e+00  1.5649980031936144e+00
1.0999999999999799e+01  3.8919701564758191e+00  1.5649980031936144e+00
1.1499999999999799e+01  3.8921959385931797e+00  1.5649980031936144e+00
1.1999999999999799e+01  3.8930694626567770e+00  1.5649980031936144e+00
1.2499999999999799e+01  3.8930753236247679e+00  1.5649980031936144e+00
1.2999999999999799e+01  3.8932946985209194e+00  1.5649980031936144e+00
1.3499999999999799e+01  3.8934019798753625e+00  1.5649980031936144e+00
1.3999999999999700e+01  3.8934519154551617e+00  1.5649980031936144e+00
1.4499999999999700e+01  3.8939528316958967e+00  1.5649980031936144e+00
1.4999999999999700e+01  3.8941004779387605e+00  1.5649980031936144e+00
1.5499999999999700e+01  3.8930981154990749e+00  1.5649980031936144e+00
1.5999999999999700e+01  3.8928426118155892e+00  1.5649980031936144e+00
1.6499999999999801e+01  3.8924643668349512e+00  1.5649980031936144e+00
1.6999999999999901e+01  3.8947351337056233e+00  1.6898132293244719e+00
1.7499999999999901e+01  3.8950660173034271e+00  1.6898132293244719e+00
1.8000000000000000e+01  3.8955348534887237e+00  1.6898132293244719e+00
1.8500000000000099e+01  3.8957528111902353e+00  1.6898132293244719e+00
1.9000000000000199e+01  3.8959307043312972e+00  1.6898132293244719e+00
1.9500000000000199e+01  3.8960743481853743e+00  1.6898132293244719e+00
2.0000000000000298e+01  3.8961586434404638e+00  1.6898132293244719e+00
2.0500000000000401e+01  3.8961727240867461e+00  1.6898132293244719e+00
2.1000000000000501e+01  3.8960912761666417e+00  1.6898132293244719e+00
2.1500000000000600e+01  3.8958685832647904e+00  1.6898132293244719e+00
2.2000000000000600e+01  3.8954531747325141e+00  1.6898132293244719e+00
2.2500000000000700e+01  3.8948375211724455e+00  1.6898132293244719e+00
2.3000000000000799e+01  3.8940709860914109e+00  1.6898132293244719e+00
